record_id,book_id,student_id,borrow_date,return_date
R001,B001,S001,2024-01-15,2024-02-01
R002,B003,S002,2024-01-20,2024-02-05
R003,B005,S003,2024-02-01,2024-02-15
R004,B002,S004,2024-02-05,2024-02-20
R005,B004,S005,2024-02-10,2024-02-25
R006,B006,S006,2024-02-15,2024-03-01
R007,B008,S007,2024-02-20,2024-03-05
R008,B010,S008,2024-02-25,
R009,B012,S009,2024-03-01,2024-03-15
R010,B015,S010,2024-03-05,2024-03-20
R011,B007,S011,2024-03-10,
R012,B009,S012,2024-03-15,2024-03-30
R013,B011,S013,2024-03-20,2024-04-05
R014,B013,S014,2024-03-25,
R015,B014,S015,2024-04-01,2024-04-15
R016,B016,S016,2024-04-05,2024-04-20
R017,B018,S017,2024-04-10,
R018,B020,S018,2024-04-15,2024-04-30
R019,B022,S019,2024-04-20,
R020,B024,S020,2024-04-25,2024-05-10
R021,B017,S021,2024-05-01,
R022,B019,S022,2024-05-05,2024-05-20
R023,B021,S023,2024-05-10,
R024,B023,S024,2024-05-15,2024-05-30
R025,B025,S025,2024-05-20,
R026,B001,S026,2024-05-25,2024-06-10
R027,B001,S027,2024-06-01,2024-06-15
R028,B005,S028,2024-06-05,2024-06-20
R029,B003,S029,2024-06-10,2024-06-25
R030,B004,S030,2024-06-15,2024-06-30
R031,B006,S031,2024-06-20,2024-07-05
R032,B008,S032,2024-06-25,2024-07-10
R033,B010,S033,2024-06-30,2024-07-15
R034,B012,S034,2024-07-05,2024-07-20
R035,B015,S035,2024-07-10,2024-07-25
R036,B007,S036,2024-07-15,2024-07-30
R037,B009,S037,2024-07-20,2024-08-04
R038,B011,S038,2024-07-25,2024-08-09
R039,B013,S039,2024-08-01,2024-08-15
R040,B014,S040,2024-08-05,2024-08-20
R041,B016,S041,2024-08-10,2024-08-25
R042,B018,S042,2024-08-15,2024-08-30
R043,B020,S043,2024-08-20,2024-09-04
R044,B022,S044,2024-08-25,2024-09-09
R045,B024,S045,2024-09-01,2024-09-16
R046,B017,S046,2024-09-05,2024-09-20
R047,B019,S047,2024-09-10,2024-09-25
R048,B021,S048,2024-09-15,2024-09-30
R049,B023,S049,2024-09-20,2024-10-05
R050,B025,S050,2024-09-25,2024-10-10
R051,B001,S051,2024-10-01,2024-10-15
R052,B003,S052,2024-10-05,2024-10-20
R053,B005,S053,2024-10-10,2024-10-25
R054,B004,S054,2024-10-15,2024-10-30
R055,B006,S055,2024-10-20,2024-11-04
R056,B008,S056,2024-10-25,2024-11-09
R057,B010,S057,2024-10-30,2024-11-14
R058,B012,S058,2024-11-04,2024-11-19
R059,B015,S059,2024-11-09,2024-11-24
R060,B007,S060,2024-11-14,2024-11-29
R061,B009,S061,2024-11-19,2024-12-04
R062,B011,S062,2024-11-24,2024-12-09
R063,B013,S063,2024-12-01,2024-12-15
R064,B014,S064,2024-12-05,2024-12-20
R065,B016,S065,2024-12-10,2024-12-25
R066,B018,S066,2024-12-15,2024-12-30
R067,B020,S067,2024-12-20,2025-01-04
R068,B022,S068,2024-12-25,2025-01-09
R069,B024,S069,2024-12-30,2025-01-14
R070,B017,S070,2025-01-04,2025-01-19
R071,B019,S071,2025-01-09,2025-01-24
R072,B021,S072,2025-01-14,2025-01-29
R073,B023,S073,2025-01-19,2025-02-03
R074,B025,S074,2025-01-24,2025-02-08
R075,B001,S075,2025-02-01,2025-02-15
R076,B003,S076,2025-02-05,2025-02-20
R077,B005,S077,2025-02-10,2025-02-25
R078,B004,S078,2025-02-15,2025-03-01
R079,B006,S079,2025-02-20,2025-03-05
R080,B008,S080,2025-02-25,2025-03-10
R081,B010,S081,2025-03-01,2025-03-15
R082,B012,S082,2025-03-05,2025-03-20
R083,B015,S083,2025-03-10,2025-03-25
R084,B007,S084,2025-03-15,2025-03-30
R085,B009,S085,2025-03-20,2025-04-04
R086,B011,S086,2025-03-25,2025-04-09
R087,B013,S087,2025-04-01,2025-04-15
R088,B014,S088,2025-04-05,2025-04-20
R089,B016,S089,2025-04-10,2025-04-25
R090,B018,S090,2025-04-15,2025-04-30
R091,B020,S091,2025-04-20,2025-05-05
R092,B022,S092,2025-04-25,2025-05-10
R093,B024,S093,2025-04-30,2025-05-15
